Recording date:	2017/10/06
Recording time:	14:45:27
Recording resolution	1366 x 768

pygaze initiation report start
display resolution: 1366x768
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
pygaze calibration report start
samplerate: 59 Hz
sampletime: 16.7999535193 ms
accuracy (in pixels): LX=681.937, LY=383.2378, RX=681.9432, RY=383.2292
precision (RMS noise in pixels): X=18.3030052177, Y=26.7581763205
distance between participant and display: 57.0 cm
fixation threshold: 51.3107898708 pixels
speed threshold: 1.19697837223 pixels/ms
accuracy threshold: 327.904497397 pixels/ms**2
pygaze calibration report end
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
1074.8	373.3659	486.4548	0	-1.0000	-1.0000	4	0.2733	0.6334	
1091.5	377.2960	472.7056	0	-1.0000	-1.0000	4	0.2762	0.6155	
1108.1	368.9467	452.1528	0	-1.0000	-1.0000	4	0.2701	0.5887	
1124.8	371.0184	450.9775	0	-1.0000	-1.0000	4	0.2716	0.5872	
1141.5	375.1381	459.4078	0	-1.0000	-1.0000	4	0.2746	0.5982	
1158.1	391.4779	448.2944	0	-1.0000	-1.0000	4	0.2866	0.5837	
1176.0	350.4562	455.1252	0	-1.0000	-1.0000	4	0.2566	0.5926	
1193.8	353.9737	448.9994	0	404.6706	396.5921	0	0.2777	0.5505	
1211.8	391.0306	433.0679	0	455.2967	479.2979	0	0.3098	0.5940	
1229.8	374.1127	444.9595	0	387.5382	389.6654	0	0.2788	0.5434	
1247.8	359.9946	445.0783	0	423.5153	430.0935	0	0.2868	0.5698	
1265.8	380.6267	433.1064	0	446.3688	480.5847	0	0.3027	0.5949	
1283.6	356.4442	456.2803	0	412.2659	410.2695	0	0.2814	0.5642	
1301.5	367.2539	418.8765	0	413.7724	406.5061	0	0.2859	0.5374	
1319.1	323.0918	437.0911	0	370.9973	397.9301	0	0.2541	0.5436	
1336.9	345.3124	445.8118	0	476.1218	566.4443	0	0.3007	0.6590	
1354.9	331.2964	427.7519	0	384.5858	414.9018	0	0.2620	0.5486	
1371.5	331.7293	467.7627	0	367.8541	409.1632	0	0.2561	0.5709	
1388.1	321.0208	439.1055	0	438.5262	546.7879	0	0.2780	0.6419	
1404.8	256.3437	304.9546	0	365.5698	382.0407	0	0.2276	0.4473	
1421.5	368.3788	462.5960	0	237.0827	387.8427	0	0.2216	0.5537	
1438.2	244.5348	415.8970	0	327.1804	415.1733	0	0.2093	0.5411	
1454.6	352.2070	443.8881	0	237.8847	260.7291	0	0.2160	0.4587	
1471.3	185.4544	382.6587	0	214.5822	251.7761	0	0.1464	0.4130	
1487.9	355.6350	456.4182	0	335.7191	367.7395	0	0.2531	0.5366	
1504.6	361.2898	470.1673	0	189.4154	332.6133	0	0.2016	0.5226	
1521.3	294.1770	324.6579	0	363.6665	400.6350	0	0.2408	0.4722	
1537.9	305.0708	411.6940	0	282.8874	363.4512	0	0.2152	0.5047	
1554.6	304.3891	278.5095	0	283.3206	318.6434	0	0.2151	0.3888	
1571.2	294.0945	424.1726	0	331.5685	398.8405	0	0.2290	0.5358	
1587.9	261.4595	466.9593	0	359.0966	367.2930	0	0.2271	0.5431	
1604.6	348.5488	437.4222	0	212.1816	253.7557	0	0.2052	0.4500	
1620.7	324.3680	353.8849	0	344.0503	337.9070	0	0.2447	0.4504	
1637.3	371.1914	290.3449	0	310.2636	364.5918	0	0.2494	0.4264	
1654.0	324.8796	405.0418	0	341.5335	300.1011	0	0.2439	0.4591	
1670.7	316.1958	371.9344	0	346.0001	320.4797	0	0.2424	0.4508	
1687.3	335.0327	364.4320	0	322.4240	336.4602	0	0.2407	0.4563	
1704.0	374.2461	281.6877	0	330.3414	311.7844	0	0.2579	0.3864	
1720.7	252.2405	57.2144	0	347.5711	339.0796	0	0.2196	0.2580	
1737.3	348.0374	354.0249	0	355.2976	333.6898	0	0.2574	0.4477	
1754.0	365.0074	384.6414	0	355.3188	379.4178	0	0.2637	0.4974	
1770.7	347.4985	360.3125	0	358.1528	359.0589	0	0.2583	0.4683	
1787.3	353.0957	371.9455	0	351.6644	326.0147	0	0.2580	0.4544	
1804.0	366.2714	347.0507	0	380.3510	324.3303	0	0.2733	0.4371	
1820.7	340.0058	351.6274	0	362.5942	320.9425	0	0.2572	0.4379	
1837.3	366.5247	367.3401	0	375.7897	287.9181	0	0.2717	0.4266	
1854.0	358.0005	377.0127	0	356.0864	323.2649	0	0.2614	0.4559	
1870.7	352.0895	380.8158	0	364.8418	324.1198	0	0.2624	0.4589	
1887.3	363.6199	370.8789	0	371.1933	305.3722	0	0.2690	0.4403	
1904.0	352.5452	370.0554	0	352.5735	375.9741	0	0.2581	0.4857	
1920.6	360.5770	368.5913	0	359.7760	335.4910	0	0.2637	0.4584	
1937.3	362.7302	378.9430	0	382.7997	253.3451	0	0.2729	0.4116	
1954.0	351.7435	394.1770	0	347.5444	327.7716	0	0.2560	0.4700	
1970.7	345.3319	365.8594	0	264.2677	433.7221	0	0.2231	0.5206	
1987.3	343.2818	355.9342	0	374.8564	328.4852	0	0.2629	0.4456	
2004.0	341.9790	342.5898	0	351.5736	333.9343	0	0.2539	0.4404	
2020.7	344.0509	371.6686	0	349.8244	352.1165	0	0.2540	0.4712	
2037.3	352.8542	377.0258	0	349.3825	360.5117	0	0.2570	0.4802	
2054.0	366.1048	364.7947	0	339.6796	338.6974	0	0.2583	0.4580	
2070.7	356.4997	371.1842	0	356.4183	352.6348	0	0.2610	0.4712	
2087.3	344.5483	347.5588	0	368.7368	328.6321	0	0.2611	0.4402	
2104.0	357.6476	373.3082	0	342.8110	340.7455	0	0.2564	0.4649	
2120.7	340.7985	356.1044	0	335.5698	363.5384	0	0.2476	0.4685	
2137.3	340.2844	366.6337	0	354.2860	331.3876	0	0.2542	0.4544	
2154.0	351.9845	366.4601	0	354.2042	346.8383	0	0.2585	0.4644	
2170.6	344.5634	369.0096	0	323.0898	340.7743	0	0.2444	0.4621	
2187.3	334.5926	357.8488	0	344.0001	354.3678	0	0.2484	0.4637	
2204.0	329.3244	349.4183	0	341.5849	355.9993	0	0.2456	0.4593	
2220.6	339.9809	361.0448	0	345.0538	347.3006	0	0.2507	0.4612	
2237.3	339.7591	372.8497	0	340.0652	360.1500	0	0.2488	0.4772	
2254.0	358.6000	395.5668	0	343.5024	343.5036	0	0.2570	0.4812	
2270.6	337.3547	367.2989	0	353.0010	363.1002	0	0.2527	0.4755	
2287.3	325.4872	326.5303	0	341.2041	340.7059	0	0.2440	0.4344	
2304.0	343.9640	375.3284	0	346.7902	366.3407	0	0.2528	0.4829	
2320.6	330.9326	365.7242	0	338.2704	378.8815	0	0.2449	0.4848	
2337.3	355.9727	396.3612	0	331.6291	355.9855	0	0.2517	0.4898	
2354.0	349.5359	367.3077	0	337.7441	368.3854	0	0.2516	0.4790	
2370.6	353.3125	370.3470	0	348.5071	338.3254	0	0.2569	0.4614	
2387.3	344.0727	375.7188	0	345.8192	339.4773	0	0.2525	0.4656	
2404.0	351.5312	377.3159	0	352.7259	350.5470	0	0.2578	0.4739	
2420.6	332.7517	353.4665	0	343.5083	365.5430	0	0.2475	0.4681	
2437.3	325.3356	377.8178	0	338.2056	343.0978	0	0.2429	0.4693	
2454.0	343.7976	358.0135	0	353.3857	334.7545	0	0.2552	0.4510	
2470.7	352.3584	366.5595	0	341.6466	330.7898	0	0.2540	0.4540	
2487.4	357.2574	366.9450	0	340.2609	339.2570	0	0.2553	0.4598	
2504.1	354.8272	360.1832	0	359.5012	349.5035	0	0.2615	0.4620	
2520.7	339.2131	380.2258	0	361.8570	327.7313	0	0.2566	0.4609	
2537.3	336.2808	348.7725	0	346.5859	383.4236	0	0.2500	0.4767	
2554.1	353.4512	381.4004	0	339.1101	333.4568	0	0.2535	0.4654	
2570.7	346.5672	363.3738	0	340.0326	326.4105	0	0.2513	0.4491	
2587.3	349.3069	362.3666	0	348.0483	327.0653	0	0.2553	0.4488	
2604.1	345.1265	345.9348	0	347.6547	358.8410	0	0.2536	0.4588	
2620.7	330.3510	363.3725	0	338.6126	348.8290	0	0.2449	0.4637	
2637.3	358.3826	360.4740	0	353.7338	344.4542	0	0.2607	0.4589	
2654.0	332.5230	349.5914	0	351.9795	380.5617	0	0.2505	0.4754	
2670.7	344.3661	361.3103	0	351.7706	342.6943	0	0.2548	0.4583	
2687.3	353.2459	386.4785	0	345.0524	360.3952	0	0.2556	0.4862	
2704.0	336.3165	358.4301	0	341.4980	344.4678	0	0.2481	0.4576	
2720.7	341.2330	362.4037	0	339.6349	367.3535	0	0.2492	0.4751	
2737.3	347.6765	367.8999	0	339.8180	345.4704	0	0.2516	0.4644	
2754.0	353.3699	403.8711	0	357.4277	345.7598	0	0.2602	0.4880	
2770.6	359.2017	397.5385	0	327.2754	364.9521	0	0.2513	0.4964	
2787.3	355.7290	394.4617	0	348.5604	365.8562	0	0.2578	0.4950	
2804.0	347.4059	374.2842	0	343.5065	347.7787	0	0.2529	0.4701	
2820.6	341.2419	380.0700	0	345.2540	340.9667	0	0.2513	0.4694	
2837.3	333.9197	374.2958	0	336.1308	316.7771	0	0.2453	0.4499	
2854.0	342.4298	384.7377	0	333.0595	358.0629	0	0.2473	0.4836	
